day,treatment,temp,DO
1,norm,22.7711873,6.71452729
2,norm,23.3094381,6.52200108
3,norm,23.4327381,6.48142361
4,norm,23.3569114,6.45009921
5,norm,23.2993441,6.40520833
6,norm,23.2135417,6.40416667
7,norm,23.4378638,6.38680556
8,norm,23.5185417,6.35219907
9,norm,23.3808642,6.35949074
10,norm,23.535108,6.36332071
11,norm,23.4931652,6.34652778
12,norm,23.4719664,6.39122475
13,norm,23.5054825,6.3334596
14,norm,22.926955,6.43536415
1,hyp,22.586641,1.79757883
2,hyp,23.2748264,1.52630208
3,hyp,23.3757639,1.92106481
4,hyp,23.2903549,2.32259838
5,hyp,23.2875278,2.34071502
6,hyp,23.2331944,2.89850823
7,hyp,23.3665833,3.80789609
8,hyp,23.478588,3.36362847
9,hyp,23.4486111,1.77167883
10,hyp,23.4689815,1.50671296
11,hyp,23.4273727,1.48723958
12,hyp,23.5112847,1.44690394
13,hyp,23.4916956,1.41863426
14,hyp,23.1944833,1.99054004